,Unnamed: 0,Unnamed: 0.1,Lex,Example,ConstrPattern,valid,args,mask_roberta,args_roberta
52,52,89825,разобрать,['Он разобрал машину на части.'],Snom V Sacc на + Sacc,Он разобрал <extra_id_0> .,"['и', '.', ', что они', 'о', ',', 'ся']",Он разобрал <mask> .,"[' его', ' ее', ' её', ' машину', ' их', ' дверь', ' меня', ' это', ' коробку', ' замок']"
53,53,97449,разрешить,['Мы разрешим ему полет.'],Snom V Sdat Sacc,Мы разрешим <extra_id_0> .,"['.', 'скачать', 'это', 'работу', 'работать', 'вас']",Мы разрешим <mask> .,"[' вам', ' это', ' тебе', ' ему', ' им', ' ей', ' проблему', ' его', ' её', ' Вам']"
54,54,99908,расстроить,['Я его расстроил своей болтовней.'],Snom V Sacc Sins,Я <extra_id_0> расстроил .,"['также', 'никогда не', 'рлыки:', 'его', 'не']",Я <mask> расстроил .,"[' тебя', ' его', ' вас', ' ее', ' её', ' их', ' всех', ' Вас', ' себя', ' не']"
55,55,101068,срубить,['Мужики рубили лес топорами.'],Snom V Sacc Sins,Мужики рубили <extra_id_0> .,"['.', 'и', '-', 'в москве', 'в', 'на', 'купить']",Мужики рубили <mask> .,"[' дрова', ' лес', ' деревья', ' дерево', '.', ' капусту', '!', ' топором', ' ЛДПР', ' сук']"
56,56,103074,рассердиться,['Жена никогда не сердилась на меня за это.'],Snom V на + Sacc за + Sacc,Жена никогда не сердилась <extra_id_0> .,"['.', ', и']",Жена никогда не сердилась <mask> .,"['.', ' на', ' бы', '.', ' раньше', ' ', '?', '!', ' так', ' дважды']"
57,57,116675,потребовать,['Он потребовал за свою работу пять тысяч (большое вознаграждение)'],Snom V Sacc за + Sacc,Он потребовал <extra_id_0>,"[':ار <extra_id_55>roport <extra_id_56>about锘-sutri', 'откликнуться.анин <extra_id_55>khulu <extra_id_25>...mærk |ggf锘 <extra_id_5', ':ار <extra_id_55>ᐅ <extra_id_0> <extra_id_56> <extra_id_51> <extra_id_35>锘 httpmærkcookies', 'следующемуlichkeiten <extra_id_55>', '. <extra_id_56>, <extra_id_11>  <extra_id_43> სას锘 <extra_id_51> во всю范围ом | <ext', '. <extra_id_56>, <extra_id_11> соби-http... ← <extra_id_35>пын https[...] <extra', '. <extra_id_56>, <extra_id_11> <extra_id_17> ""encorсексуал...секс...[...] <extra_id_35> за <extra_id_', '. <extra_id_56>, <extra_id_11> <extra_id_17>  <extra_id_43>您坐在 <extra_id_35>-...конче]', ':ار <extra_id_55>roport <extra_id_56>about锘-sutrinkyo', ':ار <extra_id_55>roport <extra_id_56>about锘-rodwartext, 2016 - <']",Он потребовал <mask>,"['.', '!', '...', '?', '…', ':', '.', '..', '!', '!!!']"
58,58,116719,тронуть,"['Кто-то тронул меня рукой.', 'Девушка прижалась к нему и тронула его щеку губами .', 'Как только Паганини тронул струны смычком, одна струна оборвалась.']",Snom V Sacc Sins,Кто-то тронул <extra_id_0> .,"['.', 'и', '-то', ', а он', ', и', 'его']",Кто-то тронул <mask> .,"[' меня', ' его', ' ее', ' её', ' их', ' тебя', ' дверь', ' руку', ' это', ' машину']"
59,59,116719,тронуть,"['Кто-то тронул меня рукой.', 'Девушка прижалась к нему и тронула его щеку губами .', 'Как только Паганини тронул струны смычком, одна струна оборвалась.']",Snom V Sacc Sins,"Как только Паганини тронул <extra_id_0> , одна струна оборвалась .","['и', ', одна', 'всю воду', ', и вдруг', 'его', 'мост', ',', 'ся']","Как только Паганини тронул <mask> , одна струна оборвалась .","[' струны', ' пианино', ' клавиши', ' клавиатуру', ' гитару', ' трубу', ' инструмент', ' ее', ' её', ' барабан']"
60,60,116954,ударять,['Погонщик легонько ударил верблюда по спине .'],Snom V Sacc по + Sdat,Погонщик легонько ударил <extra_id_0> .,"['.', 'поединок', 'погонщик', 'по пути', 'его']",Погонщик легонько ударил <mask> .,"[' его', ' кнутом', ' лошадь', ' коня', ' меня', ' ногой', ' её', ' кулаком', ' их', ' палкой']"
61,61,117038,ударять,"['Партизан ударил врага в висок.', 'Молодой человек ударил налетчика в грудь.']",Snom V Sacc в + Sacc,Партизан ударил <extra_id_0> .,"['.', 'погибший', 'в Минск', 'гранату']",Партизан ударил <mask> .,"[' ножом', ' его', ' топором', ' врага', ' меня', ' первым', ' гранату', ' партизан', ' солдата', ' офицера']"
62,62,117038,ударять,"['Партизан ударил врага в висок.', 'Молодой человек ударил налетчика в грудь.']",Snom V Sacc в + Sacc,Молодой человек ударил <extra_id_0> .,"['.', 'полицейским', 'воду', 'ногу', 'по улицам', 'его']",Молодой человек ударил <mask> .,"[' меня', ' его', ' ее', ' девушку', ' её', ' женщину', ' парня', ' полицейского', ' тебя', ' вас']"
63,63,117050,ударять,"['Пьяный ударил сына бутылкой.', 'Боец ударил противника прикладом.', 'Он ударил хулигана кулаком.']",Snom V Sacc Sins,Пьяный ударил <extra_id_0> .,"['.', 'в огне', 'и', 'весь мир', 'и выстрелил', 'в тюрьму']",Пьяный ударил <mask> .,"[' его', ' меня', ' ее', ' её', ' полицейского', ' ножом', ' женщину', ' девушку', ' тебя', ' парня']"
64,64,117050,ударять,"['Пьяный ударил сына бутылкой.', 'Боец ударил противника прикладом.', 'Он ударил хулигана кулаком.']",Snom V Sacc Sins,Боец ударил <extra_id_0> .,"['.', 'полицейским', 'взрыв', 'ногу', 'на']",Боец ударил <mask> .,"[' его', ' меня', ' ножом', ' ногой', ' первым', ' ее', ' её', ' их', ' тебя', ' противника']"
65,65,117050,ударять,"['Пьяный ударил сына бутылкой.', 'Боец ударил противника прикладом.', 'Он ударил хулигана кулаком.']",Snom V Sacc Sins,Он ударил <extra_id_0> .,['.'],Он ударил <mask> .,"[' меня', ' его', ' ее', ' её', ' тебя', ' их', ' нас', ' женщину', ' ножом', ' себя']"
66,66,117090,ударять,['Отец ударил кулаком по столу.'],Snom V Sins по + Sdat,Отец ударил <extra_id_0> .,"['.', 'и', 'воду', 'ногу', 'жена']",Отец ударил <mask> .,"[' меня', ' его', ' ее', ' её', ' тебя', ' сына', ' отца', ' нас', ' их', ' мать']"
67,67,117174,ударять,"['Милиционер ударил молоточком в дверь.', 'Дежурный ударил в рельс железным брусом, объявляя перерыв.']",Snom V Sins в + Sacc,Милиционер ударил <extra_id_0> .,"['.', 'и', 'полицейским', 'воду', 'водителя']",Милиционер ударил <mask> .,"[' его', ' меня', ' ее', ' полицейского', ' женщину', ' её', ' девушку', ' тебя', ' их', ' парня']"
68,68,117174,ударять,"['Милиционер ударил молоточком в дверь.', 'Дежурный ударил в рельс железным брусом, объявляя перерыв.']",Snom V Sins в + Sacc,"Дежурный ударил <extra_id_0> , объявляя перерыв .","['лицо', 'вверх', 'его на лицо', 'о работе', 'о рабочий', 'на руку', 'в сторону', 'на руках', 'и ударил']","Дежурный ударил <mask> , объявляя перерыв .","[' колокол', ' кулаком', ' ногой', ' кнопку', ' рукой', ' звонок', ' тревогу', ' дважды', ' трижды', ' ножом']"
69,69,117194,ударять,['Лошадь ударила копытом о землю.'],Snom V Sins о + Sacc,Лошадь ударила <extra_id_0> .,"['на ринге', 'враг', 'и', 'ногу', 'галубу', 'на ходу', 'вратарям', 'на колеса']",Лошадь ударила <mask> .,"[' меня', ' его', ' копытами', ' лошадь', ' хвостом', ' током', ' тебя', ' ногой', ' ее', ' её']"
70,70,117260,ударять,"['Запах бензина ударил ему в ноздри.', 'Кровь ударила ему в виски.', 'Вино ударило ему в голову.']",Snom V в + Sacc Sdat,Запах бензина ударил <extra_id_0> .,"['.', 'и', 'бензин', 'в воздухе', 'на', 'в']",Запах бензина ударил <mask> .,"[' меня', ' вверх', ' током', ' нос', ' ноздри', ' сильнее', ' его', ' голову', ' слух', ' тебя']"
71,71,117260,ударять,"['Запах бензина ударил ему в ноздри.', 'Кровь ударила ему в виски.', 'Вино ударило ему в голову.']",Snom V в + Sacc Sdat,Кровь ударила <extra_id_0> .,"['.', 'жена', 'Путин', 'ногу']",Кровь ударила <mask> .,"[' ключом', ' меня', ' током', ' вверх', ' тебя', ' снова', ' его', ' сильнее', ' вниз', ' назад']"
72,72,117260,ударять,"['Запах бензина ударил ему в ноздри.', 'Кровь ударила ему в виски.', 'Вино ударило ему в голову.']",Snom V в + Sacc Sdat,Вино ударило <extra_id_0> .,"['.', 'на', 'на леопард']",Вино ударило <mask> .,"[' его', ' ключом', ' меня', ' вверх', ' тебя', ' голову', ' током', ' внутрь', ' вас', ' ее']"
73,73,118252,учить,"['Старый аббат выучил его всему, что знал сам.', 'Дядя учит ребят русскому языку .', 'Чему ты учишь ребенка?']",Snom V Sacc Sdat,Старый аббат выучил <extra_id_0> .,"['.', 'в', 'его', 'их']",Старый аббат выучил <mask> .,"[' меня', ' английский', ' его', ' язык', ' французский', ' русский', ' тебя', ' их', ' немецкий', ' нас']"
74,74,118252,учить,"['Старый аббат выучил его всему, что знал сам.', 'Дядя учит ребят русскому языку .', 'Чему ты учишь ребенка?']",Snom V Sacc Sdat,Дядя учит <extra_id_0> .,"['и', '.', 'ам', 'ывая', 'ывает']",Дядя учит <mask> .,"[' меня', ' английский', ' детей', ' тебя', ' нас', ' жить', ' читать', ' жизни', ' плавать', ' историю']"
75,75,118252,учить,"['Старый аббат выучил его всему, что знал сам.', 'Дядя учит ребят русскому языку .', 'Чему ты учишь ребенка?']",Snom V Sacc Sdat,<extra_id_0> ты учишь ?,"['и', '. А', ', а', ', где', ',']",<mask> ты учишь ?,"['Что', 'что', 'Где', 'Зачем', 'А', 'Как', 'Чего', 'Так', 'Почему', 'Чем']"
