	sentence	pair	agent_index	verb_index
492	К основным классам стандартных алгоритмов поисковой оптимизации относятся методы деформируемых конфигураций алгоритм Нелдера Мида и его модификации различные процедуры покоординатного спуска и методы случайного поиска 1	методы деформируемых	8	9
493	Рандомизированные алгоритмы позволяли находить оптимальные решения в ситуациях когда стандартные процедуры поисковой оптимизации оказывались неработоспособными из-за останова в зонах оврагов и локальных экстремумов	алгоритмы позволяли	1	2
494	Такой подход открывает возможности для модульной организации алгоритмической базы при поиске оптимальных решений	подход открывает	1	2
495	Рассмотренные процедуры предназначены для решения задач безусловной оптимизации и составляют инвариантную часть алгоритмической базы оптимального выбора	процедуры предназначены	1	2
496	Обнаружено что в монокристаллах TlGa 0 99 Fe 0 01 Se 2 в постоянном электрическом поле протекают релаксационные электронные процессы обусловленные аккумулированием в них значительных зарядов	процессы обусловленные	19	20
497	В изученных монокристаллах определены физические параметры характеризующие протекающие электронные процессы эффективная подвижность заряда переносимого с помощью глубоких центров mu f 5 6 10 2 cm 2 V s при 300 K и её энергия активации Delta E 0 54 eV контактная ёмкость образца Cc 5 10 8 F область сосредоточения заряда в кристалле dc 1 17 10 6 cm постоянная зарядки контакта tau 15 s время пролёта носителей заряда через образец tt 1 8 10 3 s энергия активации ловушек ответственных за релаксацию тока Delta E sigma Delta EQ 0 58 eV	параметры характеризующие	5	6
498	Женщины часто жалуются на то что мужчины с самого начала отношений как можно скорее хотят перейти к телесной любви а потом сами же мужчины возмущаются доступностью женщин считая их легкомысленными и легкодоступными	мужчины возмущаются	23	24
499	И почему-то думают если женщина так раскрепощена с ними значит и с другими она ведёт себя точно так же	она ведёт	13	14
500	Не думаю что это хорошо если женщина жертвует собой ради любимого отдаваясь ему в первые же дни отношений идя наперекор своим желаниям	женщина жертвует	6	7
501	Привести всё это может к плачевным результатам неврозам депрессиям и даже к сексуальным расстройствам	это может	2	3
502	В качестве базового алгоритма предлагается генетический алгоритм и эвристики позволяющие ускорить сходимость для данной задачи	эвристики позволяющие	8	9
503	Лобовые столкновения составляют около 50 всех случаев аварий	столкновения составляют	1	2
504	Эта задача облегчается при минимизации усилий действующих на каркас салона при ударе	задача облегчается	1	2
505	Скорость автомобиля перед столкновением например 64 км ч Удар происходит в барьер расположенный со стороны водителя	Удар происходит	8	9
506	Требуется определить структуру каркаса передка параметры силовых элементов и их положение в пространстве так чтобы масса кузова была минимальной и жёсткость передка была бы оптимальной Данная проблема является задачей структурно-параметрического синтеза На рис	проблема является	26	27
507	Данный график показывает уменьшение жизненного пространства и соответственно деформацию салона	график показывает	1	2
508	С точки зрения безопасности будет лучше если это уменьшение будет минимально	уменьшение будет	8	9
509	модель описывающая процессы удара является системой нелинейных дифференциальных уравнений при больших размерностях трудоёмкость одного расчёта процесса удара очень высока	модель описывающая	0	1
510	Я налила себе чаю и подняла глаза на мужа Леш тебе чай или кофе	Я налила	0	1
511	Хлопнула входная дверь Алёша ушёл на работу	Алёша ушёл	3	4
512	Он стал плохо спать капризничать в детском саду	Он стал	0	1
513	Моя подруга Танька детский психолог считает что Максимке совершенно необходима собака	психолог считает	4	5
514	Малыш де станет сильнее и спокойнее если в доме будет кто-то меньше и слабее его с кем всегда можно поиграть и о ком он сможет заботиться	он сможет	23	24
515	А почему наш любимый папа смотрит так подозрительно	папа смотрит	4	5
516	Более того я бы сильно удивилась если бы он делал что-нибудь другое читал или занимался хотя последний вариант конечно просто невероятен	он делал	8	9
517	На мониторе разворачивается настоящая баталия сын лупит по клавишам как по гашетке пулемёта	сын лупит	5	6
518	Он вздрагивает ставит игру на паузу и оборачивается с кислым видом	Он вздрагивает	0	1
519	У меня что ли завтра контрольная по математике Да выучил я бормочет он Я не сдаюсь	я бормочет	10	11
520	Павел бросает прощальный тоскливый взгляд на монитор неохотно выходит из игры и начинает доставать из рюкзака учебники и тетради с демонстративным грохотом бросая их на стол	Павел бросает	0	1
521	Такой подход позволяет описывать эффекты возникающие при высокоскоростном воздействии	подход позволяет	1	2
522	На основе структурно-временного подхода предлагается предельное условие определяющее момент разрыва или пробоя	условие определяющее	6	7
523	Мы вспоминаем 1950 1960-е годы когда сотрудничество между Советским Союзом и Египтом было на очень высоком уровне	Мы вспоминаем	0	1
524	И конечно мы очень надеемся на то что наше взаимодействие будет эффективным и пойдёт на пользу в деле урегулирования конфликтов и прежде всего в деле ближневосточного урегулирования	взаимодействие будет	9	10
525	Хочу Вас поблагодарить за то что Вы откликнулись на моё приглашение и приехали	Вы откликнулись	6	7
526	Я знаю что Вы очень тонко чувствуете ситуацию которая там сложилась	Я знаю	0	1
527	Она развивается и мне небезынтересно узнать Ваше мнение по этой проблеме	Она развивается	0	1
528	Только что Президент Узбекистана дал оценку Договору который мы подписали Договору о стратегическом партнерстве между Российской Федерацией и Республикой Узбекистан	мы подписали	8	9
529	Конечно нас не может не беспокоить всё что происходит прежде всего в Южной Азии	что происходит	7	8
530	Разумеется существенное внимание уделено взаимодействию между Узбекистаном и Российской Федерацией в области экономических связей	внимание уделено	2	3
531	И в заключение я хочу поблагодарить Президента Узбекистана как за приглашение и конструктивный характер взаимодействия так и за ту доверительную атмосферу которая была создана	я хочу	3	4
532	В В Путин ответил на вопросы корреспондентов	Путин ответил	2	3
533	Вы отметили что приветствуете интерес узбекского бизнеса к российскому рынку	Вы отметили	0	1
534	Как Вы видите дальнейшие пути привлечения российского бизнеса на узбекский рынок	Вы видите	1	2
535	Прежде всего хочу ещё раз искренне поблагодарить господина Президента за приглашение и гостеприимство которое мы чувствовали буквально с первых минут пребывания на мексиканской земле	мы чувствовали	14	15
536	Только что мы подписали совместное Российско-Мексиканское заявление в котором отражено совпадение или близость наших позиций по основным проблемам современности	мы подписали	2	3
537	Я выделил бы из них Соглашение об избежании двойного налогообложения на доходы а также Соглашение о сотрудничестве в банковской сфере которые на мой взгляд должны создать хорошую правовую базу для развития экономических связей	Я выделил	0	1
538	Мы придаём большое значение взаимодействию и в других сферах и в сфере борьбы с преступностью и в культурной сфере	Мы придаём	0	1
539	Рассчитываем что эти документы создадут хорошую правовую основу для развития нашего сотрудничества	документы создадут	3	4
540	В ходе переговоров было также подтверждено общее стремление содействовать процессу формирования эффективной системы международных отношений	стремление содействовать	7	8
541	Мы считаем что роль и значение ООН как универсального инструмента по поддержанию международного мира и безопасности должна быть укреплена	Мы считаем	0	1
542	Мы в России всегда будем отдавать дань уважения мужеству наших товарищей по оружию чтить всех кто пожертвовал жизнью в борьбе с самым страшным злом XX века	кто пожертвовал	15	16
543	В случае высокочастотного поля например в мощном импульсе ультрафиолетового лазерного изучения кулоновский взрыв возможен если напряжённость поля намного больше напряжённости внутриатомного поля т е когда плотность мощности лазерного излучения	т е	22	23
544	Описанная концепция использовалась в практической работе Воронежского НИИ связи и показала высокую эффективность для имитационного моделирования цифровой обработки сигнала в различных системах связи	концепция использовалась	1	2
545	В результате аналитические методы анализа и синтеза потеряли свою эффективность сложность аналитического описания современных систем цифровой обработки сигналов особенно если требуется учитывать влияние среды распространения сигнала или нелинейные эффекты ограничения и квантования становится слишком высокой а попытки ввести хотя бы небольшие упрощения в аналитическую модель негативно отражаются на её адекватности	попытки ввести	36	37
546	Желание сократить затраты на разработку и верификацию программы моделирования вынуждает разработчика обратиться к универсальным пакетам имитационного моделирования таким как MATLAB Simulink 3 который широко распространён в научной среде или ADS который больше известен среди инженеров	Желание сократить	0	1
547	библиотечные компоненты разработаны в целях максимальной гибкости и широты использования поэтому часто являются перегружёнными всевозможными проверками режимов и альтернативными ветвями вычислений	компоненты разработаны	1	2
548	в большинстве случаев полученная программа выполняется в режиме интерпретатора	программа выполняется	4	5
549	Эти компоненты вызываются программой моделирования как библиотечные функции и их применение способно существенно поднять быстродействие модели	компоненты вызываются	1	2
550	Применительно к моделированию систем цифровой обработки сигналов подобная библиотека может включать такие объекты как фильтры дискретные преобразователи FFT FHT генераторы стандартных сигналов шумы с различными характеристиками M последовательности и т п имитаторы каналов распространения	библиотека может	8	9
551	В данной статье предлагается подход для обеспечения синхронизации компонентов модели и организации псевдопараллельных вычислений на основе объекта часы используемого или наследуемого другими объектами библиотеки классов требующих взаимной синхронизации в ходе моделирования	часы используемого	17	18
552	Кроме того предлагается подход к отладке и верификации модели на основе объекта отладочная точка используемого при разработке программы моделирования вместо обычных переменных	точка используемого	13	14
553	Ныне число признаваемых учёными таксонов и многочисленных природных форм кактусов различаемых коллекционерами превышает 10 тыс Казалось бы почти не осталось в обеих Америках кусочков суши не обследованных неутомимыми исследователями этих колючек	число признаваемых	1	2
554	Чтобы мало сведущий в кактусах человек смог представить себе только что открытое чудо необходимо сказать пару слов и о самих этих ярких и довольно известных представителях	человек смог	5	6
555	Внешне эти растения мало похожи на кактусы они представляют собой небольшие кустики с тонкими длинными и жёсткими побегами вырастающими из толстого реповидного корня	они представляют	7	8
556	А ареола разделена на две части как у маммиллярий одна с почти незаметными колючками расположена на вершине бугорка другая дающая цветок на 2 4 см ниже	ареола разделена	1	2
557	Точно такие же цветки раскрываются на астрофитумах	цветки раскрываются	3	4
558	Ведь digito палец stigma крапина т е крапчатые пальцы	т е	5	6
559	Рис Цветок Digitostigma caput medusae Открытие вызвало у кактологов живейший интерес За один год появилось сразу несколько публикаций посвящённых удивительному кактусу	Открытие вызвало	5	6
560	Результаты проведённого анализа показывают что в моделировании информационных атак сложилась тенденция разработки моделей обладающих такими свойствами как универсальность расширяемость формализуемость простота и многофакторность	Результаты проведённого	0	1
561	Тем не менее ни одна из этих рассмотренных моделей не позволяет одновременно учесть три основных параметра атаки уязвимость активизируемая атакой метод её реализации и возможные последствия	уязвимость активизируемая	17	18
562	Их разработка требует проведения научно-исследовательских и опытно-конструкторских работ включающих предварительное изучение и детальную проработку возможных вариантов реализации информационных атак	разработка требует	1	2
563	Как правило эти работы осуществляются с использованием моделей позволяющих воспроизвести необходимые свойства и характеристики информационной атаки а также провести оценку уровня их опасности для АС	работы осуществляются	3	4
564	Модели позволяют более точно определить эффективность существующих и разрабатываемых средств защиты от моделируемых информационных атак	Модели позволяют	0	1
565	многофакторностью даёт возможность учитывать три основных параметра моделируемой информационной атаки уязвимость активизируемая атакой способ реализации атаки и её возможные последствия	уязвимость активизируемая	10	11
566	Во второй половине 1990-х годов были опубликованы первые работы описывающие формализованные представления информационных атак 4 6	работы описывающие	8	9
567	Она включала в себя семь параметров описание которых приведено ниже	Она включала	0	1
568	В НТ N 1 за 2004 год открыв новую рубрику Школьные мастерские мы рассказали о К А Скворцове в Студии был опубликован его первый урок по работе с фольгой	мы рассказали	12	13
569	Видимо первые металлические предметы которыми стали пользоваться люди были сделаны из метеоритного железа эскимосы с незапамятных времён изготавливали оружие и инструменты отламывая от железного метеорита куски и придавая им нужную форму без нагрева	люди были	7	8
570	Необрабатываемые края заготовки сдерживают расширение металлу деваться некуда и он начинает вздуваться приобретая объёмную форму	он начинает	9	10
571	Например если взять круг из листового металла и расплющивать его по спирали начиная с середины то круг постепенно начнёт приобретать форму чаши Такая операция называется вытяжкой Подобную форму можно получить и другим способом если не трогать середину заготовки а сделать её края толще но короче	операция называется	23	24
572	Подобную форму можно получить и другим способом если не трогать середину заготовки а сделать её края толще но короче Это называется осадкой Сочетая эти операции русские мастера с давних времён изготавливали ковши братины чарки и многие другие изделия	Это называется	19	20
573	Для выколотки объёмных изделий мастера использовали не только молотки с различной формой бойков но и специальный опорный подкладной инструмент который выбирался исходя из формы обрабатываемого изделия	мастера использовали	4	5
574	После этого паяная заготовка надевалась на специальную стойку и выколачивалась до получения нужной формы	заготовка надевалась	3	4
575	Выколотка работа очень трудоёмкая длительная она требует высокого мастерства поэтому ради точности и скорости часто использовали специально изготовленные оправки и шаблоны	она требует	5	6
576	Участники дуэта Нил Теннант и Крис Лоу сообщили что очень рады были получить возможность написать полный саундтрек к этому классическому фильму и представить его на бесплатном концерте в сердце Лондона	Лоу сообщили	6	7
577	Это было заметно и по реакции зрителей на площади	Это было	0	1
578	Многонациональная толпа вздохнув замирала в трагические моменты фильма и радовалась двигаясь в такт музыке и сопереживая героям в минуты эмоционального подъёма	толпа вздохнув	1	2
579	Известные своими чувственными и сильными песнями о городской жизни и своими экспериментальными работами с различными режиссёрами и артистами они подтвердили в этой работе свой статус новаторов сказали устроители представления	они подтвердили	18	19
580	Необходимо отметить что несмотря на некоторые опасения со стороны правоохранительных органов массовое мероприятие прошло очень спокойно никаких серьёзных инцидентов зафиксировано не было	мероприятие прошло	12	13
581	Когда в 2003 году в Silicon Integrated Systems приняли решение о выделении в самостоятельную компанию своего подразделения по разработке графических процессоров многие сомневались в правильности этого шага	многие сомневались	21	22
582	Безусловно многие обратили внимание на представленную в ходе Computex 2003 архитектуру Volari Duo которая предусматривает размещение двух графических процессоров на одной видеокарте	многие обратили	1	2
583	Но одно дело привлечь внимание к интересному техническому решению совсем другое привести его к успеху на рынке	дело привлечь	2	3
584	В этом году мы потратили много усилий на то чтобы вместе сделать Volari XP 5 решением которое отвечало бы потребностям заказчиков как Transmeta так и XGI отметил вице-президент XGI по маркетингу Роберт Фанг	мы потратили	3	4
585	Он имеет восемь конвейеров поддерживает шины AGP 8 x и PCI Express 128-битный интерфейс видеопамяти DDR максимальный объём 256 Мбайт DirectX 9 0 и OpenGL 1 4 полноэкранный антиалиасинг по схеме 4 x	Он имеет	0	1
586	Не всё обстоит гладко и с поддержкой PCI Express	всё обстоит	1	2
587	Его действительно продемонстрировали но даже в июне это было решение состоящее из двух плат одна из которых играла роль моста между PCI Express и AGP	решение состоящее	9	10
588	Многие вспомнили о том что в своё время в VIA Technologies аналогичным способом пытались привлечь больше внимания к чипсетам для Pentium 4 выпускавшимся без официальной лицензии Intel на технологию шины P 6	Многие вспомнили	0	1
589	Человечество вошло в третье тысячелетие с громадными знаниями в области наук о жизни и колоссальным потенциалом их практического использования	Человечество вошло	0	1
590	Путём манипулирования молекулами ДНК и РНК современный человек может произвольно и направленно изменять наследственность окружающего его живого мира бактерий растений животных и человека	человек может	7	8
591	Это открывает беспрецедентные возможности для технологического прогресса биотехнология и биоинженерия и революционных прорывов в медицине генная терапия и сельском хозяйстве трансгенные или генетически модифицированные растения и животные	Это открывает	0	1
592	Вместе с тем и в связи с этим биологическая безопасность становится одной из главных проблем человечества в наступившем тысячелетии	безопасность становится	9	10
593	Опасности исходящие из прогресса биологической науки в первую очередь молекулярной биологии и её практических применений таких как генная и белковая инженерия генная терапия молекулярное управление развитием разнообразны	Опасности исходящие	0	1
594	Потенциальная опасность заключается в возможности неконтролируемого распространения новых видов и генов нарушающих природное равновесие и живые системы	опасность заключается	1	2
595	Развитие генной терапии Прогресс в лечении симптомов наследственных дефектов без искоренения самих дефектных генов как это предполагается всей стратегией генной терапии будет неизбежно приводить к накоплению вредных генов в человеческой популяции и следовательно к деградации генофонда в будущем	это предполагается	15	16
596	Наконец генная терапия создаёт высокотехнологичную методологию для разработки и применения биологического оружия нового поколения	терапия создаёт	2	3
597	Проблема состоит в том что все достижения и технологические разработки генной инженерии генной терапии и других направлений биотехнологии и биоинженерии могут быть непосредственно и прямо использованы для создания биологического оружия нового поколения	Проблема состоит	0	1
598	Вступление человечества в новое тысячелетие оказалось сопряжённым с осознанием того что международный глобальный терроризм по-видимому будет представлять собой постоянную угрозу XXI в Эта угроза может включать в себя и скрытый терроризм со стороны некоторых стран и индивидуальный и групповой терроризм религиозных сект и патологический терроризм самоубийц и психопатов	угроза может	23	24
599	Показано что воздействие этого излучения приводит к возбуждению молекул O 2 в состояния a 1 Delta g и b1 Sigma g что интенсифицирует цепной механизм горения смесей CH 4 O 2 воздух	что интенсифицирует	21	22
600	Ведь вы пишете что остаётесь пассивной и не реагируете на этот калейдоскоп поз от этого и не можете испытать то разнообразие ощущений которое даёт каждая позиция	вы пишете	1	2
601	Иногда по этому поводу развивается такая озабоченность что партнёры начинают следить за уровнем возбуждения друг друга отсюда не могут расслабиться и пытаются контролировать степень собственного возбуждения	партнёры начинают	8	9
602	Говорят если женщина не посещает периодически врача как это требуется раз в год и не делает маммографию то она должна хотя бы самостоятельно позаботиться о своём здоровье	это требуется	8	9
603	То есть каждая женщина должна сама уметь обследовать свою грудь	То есть	0	1
604	Другой рукой вы будете пользоваться для пальпации	вы будете	2	3
605	Вся грудь прощупывается последовательно лёгкими массирующими движениями плоской поверхностью вытянутых пальцев не кончиками	грудь прощупывается	1	2
606	Наконец один врач сказал мне по секрету У тебя дорогая всё в порядке	врач сказал	2	3
607	Честно говоря мужа я люблю ложиться в постель с кем-то другим противно поэтому решила воспользоваться суррогатным папой	я люблю	3	4
608	Вопрос Как Вы оцениваете сегодняшние российско-латвийские экономические отношения	Вы оцениваете	2	3
609	Объём торговли в 2003 году существенно увеличился почти на 47 по сравнению с 2002 г Эта тенденция сохранилась и в первые месяцы с г О том как пойдут дела в этой сфере после 1 мая даты вступления Латвии в ЕС можно будет судить по результатам первого полугодия а скорее девяти месяцев этого года	тенденция сохранилась	16	17
610	Но в целом мы настроены оптимистично и не ожидаем ощутимого снижения объёма торговых связей	мы настроены	3	4
611	Это объясняется в первую очередь структурой нашего экспорта в ЛР который на 60 состоит к сожалению из поставок энергоресурсов газ нефть и нефтепродукты электроэнергия уголь	Это объясняется	0	1
612	Что касается вопросов транзита в Россию и из неё то хотел бы напомнить что до 60 транзитных грузов по-прежнему российские	Что касается	0	1
613	Россия является четвёртым после Швеции США и Дании государством по объёму накопленных инвестиций около 170 млн долл	Россия является	0	1
614	Это может коснуться также фармацевтических продовольственных товаров	Это может	0	1
615	В свою очередь наше сертификационное агентство Ростест проверяет на предмет соответствия российским ГОСТам латвийские предприятия	Ростест проверяет	6	7
616	Точно так же нас проверяют американцы а наши специалисты контролируют предприятия США в связи с поставкой например куриного мяса	специалисты контролируют	8	9
617	Если предприятие соответствует принятым в России нормам ни у кого никаких проблем с экспортом не будет	предприятие соответствует	1	2
618	Вопрос Просьба прокомментировать ветирование Россией в СБ ООН проекта резолюции по Кипру	Просьба прокомментировать	1	2
619	Сама по себе резолюция направлена на осуществление этого плана и предполагает учреждение на Кипре новой операции ООН а также введение оружейного эмбарго	резолюция направлена	3	4
620	К сожалению предложенные нами поправки учтены не были	поправки учтены	4	5
621	Вообще же в практике Совета Безопасности ООН не было случаев чтобы столь сложные с юридической и технической точек зрения решения принимались в считанные часы	решения принимались	19	20
622	Мы считаем что принятие резолюции без учёта позиции заинтересованных сторон противоречило бы целям урегулирования самой его философии	Мы считаем	0	1
623	Если план Аннана будет одобрен на плебисците то Россия будет готова вернуться к рассмотрению проекта резолюции и самым конструктивным образом участвовать в её доработке	Россия будет	8	9
624	Кроме того ЭКОСОС координирует и деятельность так называемых специализированных учреждений ООН таких например как Всемирная организация здравоохранения Международная организация труда ЮНИДО и др	ЭКОСОС координирует	2	3
625	Сессии вспомогательных органов ЭКОСОС проходят в течение всего года и принятые на них решения направляются на рассмотрение Совета который их окончательно утверждает или рекомендует для дальнейшей проработки	решения направляются	13	14
626	Но одновременно ЭКОСОС играет и важную политическую роль	ЭКОСОС играет	2	3
627	Особое внимание будет уделено наращиванию международного партнерского сотрудничества в интересах наименее развитых стран и в частности содействию мобилизации дополнительных внешних и внутренних ресурсов для этой группы стран и улучшению условий их доступа на мировые рынки	внимание будет	1	2
628	Вопрос В завершение позвольте узнать сколь активно Россия участвует в работе Экономического и Социального Совета ООН и каковы наши приоритеты в его деятельности	Россия участвует	7	8
629	В результате целенаправленной работы России с начала 1990-х годов в рабочих программах Совета и его основных органов удалось закрепить тематику стран с переходной экономикой что придало большую универсальность деятельности ООН в сфере устойчивого развития	что придало	24	25
630	Намерения и мотивы современных молодых людей мы рассмотрим на материалах проведённого в 2004 г исследования в четырёх малых городах Вязники Владимирской области Ярцево Смоленской области Шарья Костромской области Буинск Республики Татарстан	мы рассмотрим	6	7
